"步骤","环节","页面/模块","演示动作","讲解词","讲解重点"
"1","开场","登录/首页","打开系统，准备登录","各位好，今天我会重点介绍 EMS 平台中的 Price & Trading 功能。我们会以葡萄牙电站 Portuguese Farm 作为演示案例。","先建立演示背景。"
"2","场景说明","电站选择","在顶部电站选择器中选择 Portuguese Farm","Portuguese Farm 接入了光伏、储能和电价交易相关数据，适合展示动态电价驱动下的智能调度能力。","全程使用同一个电站，避免上下文混乱。"
"3","价值概述","Price & Trading","指向左侧 Price & Trading 菜单区域","Price & Trading 的核心价值，是把动态电价转化为可执行的储能充放电策略。","用一句话说明模块价值。"
"4","执行视图","Vue Execution","进入 Vue Execution 页面","我们先看执行视图。这里展示当前策略的执行效果，包括策略模板、实时功率、SOC 和市场电价。","先看结果，再讲策略来源。"
"5","执行视图","Vue Execution","指向价格、功率、SOC 指标卡片","系统不是单纯展示电价，而是把电价信号、电站运行状态和电池 SOC 结合起来，辅助调度决策。","说明数据如何参与决策。"
"6","执行视图","Vue Execution","指向功率曲线","这张功率曲线可以帮助我们对比 AI 预测、实时功率和电价之间的关系，判断调度行为是否跟随价格变化。","展示价格与调度动作的关系。"
"7","执行视图","Vue Execution","指向 SOC 曲线","SOC 曲线用于判断电池是否有足够容量在低价时充电，并在高价时放电。","解释为什么 SOC 对交易策略重要。"
"8","AI 调度","Dispatch IA","进入 Dispatch IA 页面","接下来进入 AI 调度页面。这里是 Price & Trading 的核心，用于生成和编排电站的充放电策略。","从执行监控切换到策略生成。"
"9","AI 调度","Dispatch IA","指向当前电站和策略模板","当前策略模板是 Profit Maximization AI，也就是收益最大化策略。它的目标是在低价时充电，在高价时放电。","解释当前策略目标。"
"10","AI 调度","Dispatch IA","指向 Current Edge Strategy 表格","这个表格展示边缘侧当前策略。每一行代表一个时间段，包括调度动作和目标功率。","说明边缘策略表的含义。"
"11","AI 调度","Dispatch IA","指向 Charge 行","Charge 表示充电。在动态电价场景下，通常对应电价较低的时段。","解释充电动作。"
"12","AI 调度","Dispatch IA","指向 Discharge 行","Discharge 表示放电。通常对应电价较高的时段，用于降低用电成本或获取交易收益。","解释放电动作。"
"13","AI 调度","Dispatch IA","指向 Standby 行","Standby 表示待机。当价格收益空间不明显，或当前运行条件不适合动作时，系统会保持待机。","解释待机动作。"
"14","云端调度","Dispatch IA","指向 Cloud Dispatch 表格","云端调度表展示系统根据市场电价和电站约束生成的优化调度计划。","说明云端优化结果。"
"15","动态电价逻辑","Dispatch IA","结合时间段讲解策略表","重点在于，这不是固定的人工策略，而是会根据市场电价和电站状态动态变化的策略。","突出动态电价能力。"
"16","预测能力引入","Forecast API / Algorithm System","过渡说明，不一定切换页面","在生成调度策略之前，系统还会引入预测能力，包括光伏发电预测和负荷预测。这些预测结果会通过 API 接入算法系统，作为 AI 调度的重要输入。","把策略生成从电价扩展到预测体系。"
"17","光伏预测","PV Forecast API","说明光伏预测输入","光伏预测会结合历史发电数据、天气、辐照度和电站装机容量，预测未来时段的光伏出力。这样系统可以提前判断哪些时段会有更多绿电。","说明光伏预测的业务作用。"
"18","负荷预测","Load Forecast API","说明负荷预测输入","负荷预测会基于历史用电曲线和站点运行规律，预测未来负荷需求。这样系统可以知道哪些时段电站用电压力更高。","说明负荷预测的业务作用。"
"19","算法系统","AI Optimization Engine","说明算法如何综合输入","算法系统会综合动态电价、光伏预测、负荷预测、储能 SOC 和设备约束，计算出最优的充放电计划。","解释 AI 调度不是只看电价。"
"20","策略模板","Station Strategy Templates","进入 Station Strategy Templates 页签","这里可以查看电站可用的策略模板。今天我们重点展示收益最大化策略，因为它最能体现 Price & Trading 的价值。","展示策略模板能力。"
"21","策略模板","Station Strategy Templates","指向 Market Price Preview","电价预览可以帮助用户理解，为什么 AI 会在某些时段选择充电或放电。","让 AI 决策更容易解释。"
"22","策略模板","Station Strategy Templates","指向收益和成本系数区域","这些系数可以反映不同的业务假设，比如光伏上网收益、光伏本地消纳收益、储能充电成本等。","说明经济模型可配置。"
"23","安全下发","Dispatch IA","回到 Dispatch IA，点击 Deploy Strategy 仅展示弹窗","策略下发前，系统会要求进行安全校验，避免误操作影响电站设备运行。","展示安全治理机制。"
"24","安全下发","Security Verification 弹窗","展示验证码弹窗，不提交","这里可以说明：策略下发可能影响设备运行，请输入验证码确认。演示时我们停留在这里，不实际下发。","强调演示不执行真实下发。"
"25","站级 EMS 验证","Station-level EMS","打开站级 EMS 或边缘侧策略页面","下发完成后，我们可以进入站级 EMS 查看边缘侧接收到的调度策略。这里可以看到策略已经成功同步到站端，说明云端策略已经完成下发闭环。","证明策略从云端到站端已生效。"
"26","站级 EMS 验证","Station-level EMS","指向站端策略时间段和功率指令","站端展示的时间段、充放电动作和目标功率应与云端调度策略保持一致。这样客户可以确认策略不是只停留在云端页面，而是已经到达现场 EMS。","验证云端策略与站端策略一致。"
"27","总结","Price & Trading","回到调度或执行页面","总结一下，Price & Trading 完成了从动态电价、光伏预测、负荷预测、AI 策略生成、云端下发、站端 EMS 接收、执行监控到安全校验的完整闭环。","总结完整业务闭环。"
"28","收尾","Price & Trading","结束演示","对客户来说，核心价值是让储能不只是备用设备，而是可以响应电价、光伏和负荷变化，主动提升收益的智能资产。","以客户价值收尾。"
