编号,一级模块,二级功能,功能项,功能说明,主要操作,主要数据或输出,适用角色,当前状态,备注,6月24日测试,
,,,,,,,,,,,
1,账号与安全,登录,账号密码登录,通过账号和密码进入云平台,输入账号、输入密码、登录,登录结果、错误提示,所有用户,已上线,,BUG,Remember password 功能不生效，建议去除这个功能
2,账号与安全,登录,忘记密码,为无法登录的用户提供密码找回入口,点击忘记密码、提交账号信息,密码重置结果,所有用户,入口存在,需结合邮件或短信服务验证完整流程,BUG,忘记密码，时候提升语言出现中文
3,账号与安全,注册,用户注册,创建新的平台用户账号,填写注册信息、提交注册,注册结果,新用户,入口存在,需确认生产环境是否开放自主注册,未测试,
,账号与安全,修改密码,账号与安全,修改密码功能正常,提交旧密码，修改新密码,旧密码，新密码,所有用户,已上线,,UI问题,修改密码为与整个系统风格统一，主题颜色与头部效果未统一
4,账号与安全,安全验证,策略下发验证码,策略正式下发前进行二次安全确认,输入页面显示的验证码、确认下发,验证结果、下发结果,运维人员、交易人员,已上线,建议增加简短提示文字，说明验证码用途及操作风险,未测试,
5,全局功能,电站上下文,电站切换,切换当前查看和操作的目标电站,打开电站选择器、选择电站,当前电站名称及对应数据,所有用户,已上线,演示与测试建议选择 Portuguese Farm,BUG,首次切换时候 architecture Map 菜单未显示
6,全局功能,国际化,语言切换,切换平台界面语言,选择英文或法文,对应语言界面,所有用户,已上线,部分页面存在中英文或法英文混用现象,未测试,
7,全局功能,界面设置,主题切换,切换平台显示主题,点击主题按钮,浅色或深色主题,所有用户,已上线,,通过,
8,全局功能,消息提醒,告警角标,展示当前告警数量并进入告警列表,点击告警图标,告警数量、告警页面,所有用户,已上线,,通过,
10,资产总览,资产概览,电站汇总,集中展示平台管理的电站和设备总体情况,选择电站或查看全局,电站数、设备数、运行状态,管理人员、运维人员,已上线,,通过,
12,资产总览,资产概览,地图与站点分布,查看电站的地理位置及分布,缩放地图、选择站点,站点位置、站点摘要,管理人员、运维人员,已上线,,提示问题,1. 进入系统时候会报一个 System error 的错误提示
,,,,,,,,,,新功能,2. 地图全屏模式下也显示 Operations Summary卡片
,,,,,,,,,,UI问题,3. 暗色系下点击地图上的电站，卡片应该也修改为暗色
13,电站管理,电站列表,电站查询,按名称或关键字查找电站,输入关键字、执行搜索,匹配的电站列表,管理人员、运维人员,已上线,,优化,搜索框设置为大小写不敏感
14,电站管理,电站列表,状态筛选,按全部、正常、故障、离线筛选电站,点击状态筛选项,筛选后的电站列表及数量,管理人员、运维人员,已上线,,通过,
15,电站管理,电站列表,电站分页,在多页电站数据之间切换,上一页、下一页、选择页码,对应页电站数据,管理人员、运维人员,已上线,,未测试,
16,电站管理,新建电站,基础信息配置,创建电站并设置识别信息,填写 EMS SN、名称、分组、ID、投运日期,电站基础档案,管理员,已上线,,通过,
17,电站管理,新建电站,区域与时区配置,设置电站所在国家、时区和地址,选择国家、时区，填写地址和坐标,国家、时区、地址、经纬度,管理员,已上线,葡萄牙电站应重点核验 Europe/Lisbon 及夏令时,通过,
18,电站管理,新建电站,电气参数配置,设置电站类型、并网电压等参数,选择类型、填写电压,电站类型、并网电压,管理员、工程人员,已上线,,通过,
19,电站管理,新建电站,设备类型配置,指定电站包含的能源设备类型,选择 ESS、PV、DG、EVSE 等,电站设备类型清单,管理员、工程人员,已上线,,通过,
20,电站管理,支路配置,新增支路,为电站建立电气支路,点击新增、填写支路信息,新支路记录,管理员、工程人员,已上线,,通过,
21,电站管理,支路配置,编辑与删除支路,维护已有支路信息,编辑、删除、保存或取消,更新后的支路结构,管理员、工程人员,已上线,删除操作应具备明确确认提示,通过,
22,电站管理,支路配置,电表绑定,将电表设备绑定到指定支路,选择电表并绑定,支路与电表关系,管理员、工程人员,已上线,,通过,
23,电站管理,支路配置,资产类型设置,定义支路对应的资产类型,选择资产类型,支路资产分类,管理员、工程人员,已上线,,通过,
24,电站管理,支路配置,设备拖拽编排,通过拖拽调整设备与支路的关系,拖放设备、保存配置,设备拓扑关系,管理员、工程人员,已上线,需验证重复绑定和无效拖放限制,通过,
25,架构监视,系统架构,架构总览,以拓扑方式展示电站能源系统结构,查看总览、切换电站,电网、负荷、光伏、储能、柴油机、充电桩关系,管理人员、运维人员,已上线,,UI问题,1. 默认位置未居中，2.数据字号大两号，3.部分组件之间的间隙可以在缩小一些
26,架构监视,系统架构,架构详情,查看各能源节点的实时状态和数据,点击节点或切换详情,节点功率、SOC、温度及状态,运维人员,已上线,,数据问题,1. PCS上的状态数据不对，另外两个状态被替换为了P/U两个数据，不对的，2光伏上的rated数据需要确定
27,实时监控,实时总览,储能总览,查看储能系统当前运行情况,切换 ESS 页签、查看图表,充放电功率、SOC、设备状态,运维人员,已上线,,数据缺失,参考设计
28,实时监控,实时总览,光伏总览,查看光伏系统当前运行情况,切换 PV 页签、查看监控数据,光伏功率、发电量、设备状态,运维人员,已上线,Portuguese Farm 有数据，适合作为演示电站,数据缺失,参考设计，Total Yield单位换算不对，数据缺失
,实时监控,实时总览,充电桩总览,查看充电桩系统当前运行情况,切换 EVSE,,,,,未测试,
,实时监控,实时总览,柴油发电机总来,查看柴油发电机系统当前运行情况,切换 DG,,,,,未测试,
30,实时监控,实时详情,设备分类查看,按 BESS、PV 等设备类型查看设备卡片,切换分类、选择设备,设备列表、在线状态、实时指标,运维人员,已上线,,数据问题,卡片上的状态与架构图上的状态不一致
31,实时监控,实时详情,设备下钻,进入单台设备查看详细测点,点击设备卡片,设备测点、运行参数、状态信息,运维人员,已上线,,未测试,
32,实时监控,实时详情,数据刷新,主动获取最新设备数据,点击刷新,最新采集时间和测点数据,运维人员,已上线,应显示刷新成功、失败或超时提示,未测试,
33,实时监控,实时详情,CSV 数据导出,将设备或实时数据导出为 CSV,点击导出,CSV 文件,运维人员、分析人员,已上线,导出时间范围和时区应在文件中明确,通过,
34,数据分析,功率分析,功率曲线分析,分析电站或设备在指定时段的功率变化,选择日期范围、设备或集群,功率趋势及统计值,分析人员、运维人员,已上线,,UI问题,拖拽下发进度条时候去掉曲线动画，变成实时跟踪
35,数据分析,SOC 分析,储能 SOC 分析,分析储能荷电状态变化,选择时间和储能设备,SOC 趋势、最大值、最小值,分析人员、运维人员,已上线,,UI问题,拖拽下发进度条时候去掉曲线动画，变成实时跟踪
36,数据分析,电池分析,电池运行分析,查看电池系统关键运行数据,选择电池、时间范围和指标,电压、电流、温度、SOC 等数据,运维人员、分析人员,已上线,,UI问题,"1. 拖拽下发进度条时候去掉曲线动画，变成实时跟踪
2. 建议将右侧的选项放到下一栏，参考UI原型"
37,数据分析,筛选条件,日期范围筛选,限定数据分析的起止时间,选择开始和结束日期,对应时间范围的数据,分析人员、运维人员,已上线,跨日及夏令时切换日期需重点验证,通过,夏令时切换日未验证
38,数据分析,筛选条件,设备与集群选择,选择分析对象的设备层级,选择电站、集群或设备,对应对象的数据曲线,分析人员、运维人员,已上线,,设计问题,1. 默认不选中数据，2.用户最对自能一次多选5个数据
,数据分析,下载CSV,下载CSV,下载CSV,下载CSV,下载CSV,分析人员、运维人员,已上线,,通过,
39,能源统计,储能统计,充放电统计,统计储能充电量和放电量,选择月份、计量点,充电量、放电量、净电量,管理人员、分析人员,已上线,,数据问题,总充电和总放电 数据或者是单位不对，下方柱状图数据太长保留两位
40,能源统计,光伏统计,光伏发电统计,统计光伏系统的发电量,选择月份、计量点,光伏发电量及趋势,管理人员、分析人员,已上线,Portuguese Farm 可用于数据合理性验证,数据问题,总数据或者是单位不对，下方柱状图数据太长保留两位
,能源统计,充电桩统计,,,,,,,,未测试,
,能源统计,柴油发电机统计,,,,,,,,未测试,
41,能源统计,负荷统计,负荷用电统计,统计站内负荷用电情况,选择月份、计量点,负荷电量及趋势,管理人员、分析人员,已上线,,BUG,架构上没有创建负载，默认有负载选项
42,能源统计,统计条件,月份选择,按自然月查看能源统计,选择月份,月度统计结果,管理人员、分析人员,已上线,葡萄牙站点月份边界应按 Europe/Lisbon 计算,通过,
43,能源统计,统计条件,计量点选择,选择统计所依据的 POI 或计量点,选择计量点,指定计量口径的统计数据,管理人员、分析人员,已上线,,通过,
44,告警管理,告警列表,告警查询,通过关键字查询告警,输入关键字、搜索,匹配告警记录,运维人员,已上线,,通过,
45,告警管理,告警列表,告警时间筛选,按起止时间筛选告警,选择日期范围,对应时间段告警,运维人员,已上线,告警发生时间应显示明确时区,通过,时区未验证
46,告警管理,告警列表,等级筛选,按严重程度筛选告警,选择告警等级,指定等级告警,运维人员,已上线,,未测试,
47,告警管理,告警列表,状态筛选,按处理状态筛选告警,选择状态,未处理、处理中或已恢复告警,运维人员,已上线,,未测试,
48,告警管理,告警列表,告警分页,浏览多页告警记录,切换页码,对应页告警数据,运维人员,已上线,,BUG,系统翻译混乱，会同时出现多个相同页码
